n29,n78,2
n18,n78,10
n48,n14,5
n24,n03,14
n37,n25,4
n08,n25,13
n50,n25,10
n29,n25,1
n11,n25,12
n18,n25,12
n15,n16,7
n36,n64,20
n35,n34,10
n39,n77,3
n47,n77,19
n34,n77,3
n47,n14,30
n11,n51,1
n04,n02,15
n35,n63,17
n37,n09,34
n45,n09,26
n68,n45,25
n40,n55,4
n32,n55,6
n32,n29,65
n57,n45,22
n23,n60,25
n23,n52,23
n60,n59,9
n48,n45,2
n67,n76,5
n37,n67,8
n40,n76,7
n40,n69,5
n21,n76,7
n35,n76,4
n69,n76,3
n47,n76,27
n04,n76,29
n47,n69,13
n04,n69,19
n23,n64,28
n64,n45,16
n64,n39,4
n64,n29,14
n32,n57,58
n57,n21,12
n23,n57,35
n03,n57,10
n24,n47,23
n21,n60,6
n12,n60,37
n75,n52,7
n45,n07,4
n14,n07,10
n18,n07,38
n40,n34,26
n66,n02,2
n23,n61,18
n36,n61,15
n08,n49,5
n12,n07,24
n29,n09,13
n34,n06,23
n38,n15,6
n23,n35,28
n23,n30,3
n23,n72,8
n35,n30,1
n35,n72,4
n08,n30,3
n50,n30,3
n72,n30,2
n12,n30,4
n18,n30,2
n12,n72,3
n18,n72,10
n26,n16,20
n45,n59,23
n12,n61,27
n26,n61,8
n68,n61,3
n12,n67,5
n40,n67,2
n23,n67,8
n04,n67,7
n45,n30,1
n75,n30,2
n29,n59,20
n59,n30,1
n63,n60,6
n16,n63,3
n06,n60,11
n37,n78,10
n04,n78,16
n23,n69,10
n08,n74,3
n12,n74,3
n18,n74,2
n06,n09,27
n68,n57,16
n15,n21,13
n37,n06,44
n29,n06,10
n15,n47,19
n68,n40,26
n68,n63,6
n03,n29,43
n68,n29,15
n21,n14,31
n40,n09,10
n14,n76,7
n03,n76,23
n76,n09,1
n03,n14,12
n03,n09,7
n45,n55,12
n75,n55,8
n26,n62,6
n11,n62,10
n19,n22,1
n12,n19,12
n32,n54,2
n08,n54,1
n47,n54,1
n50,n54,1
n11,n54,1
n18,n54,2
n47,n25,10
n04,n25,12
n36,n57,25
n63,n53,5
n48,n63,1
n68,n35,8
n45,n22,4
n38,n22,2
n47,n22,10
n50,n22,14
n03,n60,15
n34,n60,8
n03,n06,17
n14,n62,3
n08,n62,22
n29,n16,19
n64,n55,1
n64,n03,8
n45,n73,4
n08,n73,4
n03,n73,3
n12,n73,4
n18,n73,4
n23,n28,20
n14,n22,5
n35,n53,3
n57,n39,10
n76,n77,9
n11,n19,15
n18,n19,17
n05,n22,9
n75,n14,22
n32,n69,9
n69,n63,8
n37,n69,16
n45,n69,8
n14,n69,1
n16,n69,3
n08,n56,16
n34,n56,10
n12,n56,7
n64,n06,6
n64,n09,3
n14,n05,11
n32,n60,23
n47,n60,11
n57,n60,1
n29,n69,7
n68,n28,4
n21,n22,4
n48,n21,3
n37,n22,19
n34,n22,4
n48,n60,1
n34,n48,6
